icd_code	icd_desc	sex
O20	Hemorrhage in early pregnancy	female
O21	Excessive vomiting in pregnancy	female
O22	Venous complications and hemorrhoids in pregnancy	female
O23	Infections of genitourinary tract in pregnancy	female
O24	"Diabetes mellitus in pregnancy, childbirth, and the puerperium"	female
O25	"Malnutrition in pregnancy, childbirth and the puerperium"	female
O26	Maternal care for other conditions predominantly related to pregnancy	female
O28	Abnormal findings on antenatal screening of mother	female
O29	Complications of anesthesia during pregnancy	female
O30	Multiple gestation	female
O31	Complications specific to multiple gestation	female
O32	Maternal care for malpresentation of fetus	female
O33	Maternal care for disproportion	female
O34	Maternal care for abnormality of pelvic organs	female
O35	Maternal care for known or suspected fetal abnormality and damage	female
O36	Maternal care for other fetal problems	female
O40	Polyhydramnios	female
O41	Other disorders of amniotic fluid and membranes	female
O42	Premature rupture of membranes	female
O43	Placental disorders	female
O44	Placenta previa	female
O45	Premature separation of placenta [abruptio placentae]	female
O46	"Antepartum hemorrhage, not elsewhere classified"	female
O47	False labor	female
O48	Late pregnancy	female
O60	Preterm labor	female
O61	Failed induction of labor	female
O62	Abnormalities of forces of labor	female
O63	Long labor	female
O64	Obstructed labor due to malposition and malpresentation of fetus	female
O65	Obstructed labor due to maternal pelvic abnormality	female
O66	Other obstructed labor	female
O67	"Labor and delivery complicated by intrapartum hemorrhage, not elsewhere classified"	female
O68	Labor and delivery complicated by abnormality of fetal acid-base balance	female
O69	Labor and delivery complicated by umbilical cord complications	female
O70	Perineal laceration during delivery	female
O71	Other obstetric trauma	female
O72	Postpartum hemorrhage	female
O73	"Retained placenta and membranes, without hemorrhage"	female
O74	Complications of anesthesia during labor and delivery	female
O75	"Other complications of labor and delivery, not elsewhere classified"	female
O76	Abnormality in fetal heart rate and rhythm complicating labor and delivery	female
O77	Other fetal stress complicating labor and delivery	female
O80	Encounter for full-term uncomplicated delivery	female
O81	single delivery by forceps and vacuum extractor	female
O82	Encounter for cesarean delivery without indication	female
O85	Puerperal sepsis	female
O86	Other puerperal infections	female
O87	Venous complications and hemorrhoids in the puerperium	female
O88	Obstetric embolism	female
O89	Complications of anesthesia during the puerperium	female
O90	"Complications of the puerperium, not elsewhere classified"	female
O91	"Infections of breast associated with pregnancy, the puerperium and lactation"	female
O92	Other disorders of breast and disorders of lactation associated with pregnancy and the puerperium	female
O94	"Sequelae of complication of pregnancy, childbirth, and the puerperium"	female
O98	"Maternal infectious and parasitic diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium"	female
O99	"Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium"	female
O9A	"Maternal malignant neoplasms, traumatic injuries and abuse classifiable elsewhere but complicating pregnancy, childbirth and the puerperium"	female
Q53	Undescended and ectopic testicle	male
Q50	"Congenital malformations of ovaries, fallopian tubes and broad ligaments"	female
Q51	Congenital malformations of uterus and cervix	female
Q52	Other congenital malformations of female genitalia	female
Q55	Other congenital malformations of male genital organs	male
